city_ascii,lat,lng
Plessisville,46.2167,-71.7833
Port-Cartier,50.0333,-66.8667
Rocky Mountain House,52.3753,-114.9217
Stephenville,48.55,-58.5667
Devon,53.3633,-113.7322
Boischatel,46.9,-71.15
Pointe-Calumet,45.5,-73.97
Beauceville,46.2,-70.7833
Amqui,48.4667,-67.4333
Mont-Joli,48.58,-68.18
Contrecoeur,45.85,-73.2333
Hope,49.3858,-121.4419
Douglas,46.2819,-66.942
Les Cedres,45.3,-74.05
La Broquerie,49.3994,-96.5103
Kent,49.2833,-121.75
Bonnyville,54.2667,-110.75
Stettler,52.3236,-112.7192
Perth,44.9,-76.25
Humboldt,52.2019,-105.1231
Charlemagne,45.7167,-73.4833
Pontiac,45.5833,-76.1333
St. Paul,53.9928,-111.2972
Petrolia,42.8833,-82.1417
Vegreville,53.4928,-112.0522
Princeville,46.1667,-71.8833
Vercheres,45.7833,-73.35
La Ronge,55.1,-105.3
Saint-Philippe,45.35,-73.47
Richelieu,45.45,-73.25
Cookshire,45.3729,-71.672
Windsor,45.5667,-72.0
Creston,49.09,-116.51
Cornwall,46.2407,-63.2009
Meadow Lake,54.1242,-108.4358
Sackville,45.9,-64.3667
Cochrane,49.0667,-81.0167
Marystown,47.1667,-55.1667
Fernie,49.5042,-115.0628
Woodstock,46.1522,-67.5983
Val-David,46.03,-74.22
Flin Flon,54.7667,-101.8778
Hudson,45.45,-74.15
Gananoque,44.33,-76.17
Saint-Paul,45.9833,-73.45
Shannon,46.8833,-71.5167
Hearst,49.6869,-83.6544
Sainte-Anne-de-Bellevue,45.4039,-73.9525
Chisasibi,53.6645,-78.7938
Chertsey,46.17,-73.92
Armstrong,50.4483,-119.1961
Lanoraie,45.9667,-73.2167
Jasper,52.9013,-118.1312
Barrhead,54.1167,-114.4
Melville,50.9306,-102.8078
Vanderhoof,54.0143,-124.0089
Waterloo,45.35,-72.5167
Neuville,46.7,-71.5833
Hampton,45.533,-65.833
Grand Forks,49.0333,-118.44
La Pocatiere,47.3667,-70.0333
Saint-Donat,46.3167,-74.2167
Chateau-Richer,46.9667,-71.0167
Berthierville,46.0833,-73.1833
Vermilion,53.3542,-110.8528
Niverville,49.6056,-97.0417
Danville,45.7833,-72.0167
Battleford,52.7383,-108.3153
Saint-Jacques,45.95,-73.5667
Sutton,45.091,-72.5792
Carleton-sur-Mer,48.1,-66.1333
Oka,45.47,-74.08
Prescott,44.7167,-75.5167
Maniwaki,46.375,-75.9667
Morin-Heights,45.9,-74.25
Dundas,46.3155,-64.6947
Napierville,45.1833,-73.4
Howick,43.9,-81.07
Callander,46.1781,-79.4125
New Richmond,48.1667,-65.8667
Breslau,43.4816,-80.408
Montague,44.9667,-75.9667
Cumberland,49.6206,-125.0261
Beaupre,47.05,-70.9
Rossland,49.0786,-117.7992
Golden,51.3019,-116.9667
Raymond,49.4658,-112.6508
Windsor,44.9803,-64.1292
Westbank,49.8423,-119.6743
Trois-Pistoles,48.12,-69.18
Grande-Riviere,48.4,-64.5
Malartic,48.1333,-78.1333
Lewisporte,49.23,-55.07
Cartier,49.9161,-97.7
Perce,48.5333,-64.2167
Bright,46.1205,-67.0545
Marathon,48.75,-86.3667
Richmond,45.6667,-72.15
Lake Cowichan,48.8258,-124.0542
Lorette,49.7414,-96.8761
Portneuf,46.7,-71.8833
Tisdale,52.85,-104.05
Normandin,48.8333,-72.5333
Beausejour,50.0622,-96.5161
Dalhousie,48.1,-66.6167
Clermont,47.6833,-70.2333
Wellington,46.4768,-64.7478
Degelis,47.55,-68.65
Morris,49.3986,-97.4592
Carman,49.4992,-98.0008
Athabasca,54.7197,-113.2856
Enderby,50.5508,-119.1397
Grand Valley,43.95,-80.3667
Senneterre,48.3833,-77.2333
Kingston,45.4663,-66.0217
Ascot Corner,45.45,-71.7667
Horton,45.5,-76.6667
Saint-Michel,45.2333,-73.5667
Rankin Inlet,62.83,-92.1321
Cedar,49.0853,-123.8259
Ferme-Neuve,46.7,-75.45
Thurso,45.5969,-75.2433
Yamachiche,46.2667,-72.8333
Bonaventure,48.05,-65.4833
Wakefield,46.2406,-67.6248
Stoke,45.5333,-71.8
Kuujjuaq,58.1429,-68.3742
Rougemont,45.4333,-73.05
Lac-des-Ecorces,46.55,-75.35
Bedford,45.1167,-72.9833
Lacolle,45.0833,-73.3667
Coalhurst,49.7457,-112.9319
Markstay,46.4912,-80.4717
Saint-Bruno,48.4667,-71.65
Laurier-Station,46.5333,-71.6333
Cap-Chat,49.1,-66.6833
Ville-Marie,47.3333,-79.4333
Rimbey,52.6333,-114.2167
